Merchant_id,Transaction date,Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradulent,
3160040998,,100,3000,N,5,Y,Y,0,0,0,Y,
3160040998,,100,4300,N,5,Y,Y,0,0,0,Y,
3160041896,,185.5,4823,Y,5,N,N,0,0,0,Y,447
3160141996,,185.5,5008.5,Y,8,N,N,0,0,0,Y,
3160241992,,500,26000,N,0,Y,Y,800,677.2,6,Y,
3160241992,,500,27000,N,0,Y,Y,800,677.2,6,Y,
3160272997,,262.5,11287.5,N,0,N,N,900,345.5,7,Y,
3162041996,,185.5,11130,Y,20,N,N,0,0,0,Y,
3162041996,,185.5,6121.5,Y,20,N,N,0,0,0,Y,
3162041996,,185.5,7049,Y,20,N,N,0,0,0,Y,
3356298138,,166.788473,4836.865717,N,0,N,N,721,229,9,Y,
3359162473,,444.9970144,21804.85371,N,0,Y,Y,0,0,0,Y,
3359690891,,152.451565,4116.192255,N,0,Y,Y,865,375,8,Y,
3364840542,,36.91948763,2141.330283,N,5,Y,Y,0,0,0,Y,
3365355395,,806.1795426,23379.20674,N,0,N,N,816,811,5,Y,
3369900897,,257.0911668,10283.64667,N,4,Y,N,0,0,0,Y,
3376306597,,601.4529708,24659.5718,N,7,N,N,0,0,0,Y,
3386662126,,222.5298151,12461.66965,N,9,Y,N,0,0,0,Y,
3388251889,,231.0673178,12708.70248,N,0,N,N,986,650,8,Y,
3394638119,,675.5694754,39858.59905,N,9,Y,N,0,0,0,Y,
3402333645,,242.1517429,10654.67669,N,0,Y,Y,0,0,0,Y,
3405816400,,804.7617661,42652.3736,N,0,N,N,953,950,8,Y,
3408183027,,432.0302518,22033.54284,N,8,Y,Y,0,0,0,Y,
3413226850,,356.8122632,16056.55184,N,9,Y,Y,0,0,0,Y,
3418090677,,456.2831178,15057.34289,N,0,Y,Y,0,0,0,Y,
